id_loja|tipo_loja|cidade|estado|rua|bairro_distrito|venda
6301824316086507001|TIPO 6|BRASILIA|DF|SHIN CA 1 LT B BL B LJ 102,SN,|LAGO NORTE|405485.15
1581759797118176041|TIPO 6|BRASILIA|DF|SHC SW CLSW 105 BL A QD,SN,LJ 01|SETOR SUDOESTE|404012.46
3751013313371946582|TIPO 4|BRASILIA|DF|ROD BR 020 KM 20 22 PARTE,SN,|PLANALTINA|402227.47
9094319458664486273|TIPO 2|CAMPINAS|SP|R DA ABOLICAO,2013,|PONTE PRETA|384178.08
7263911256521882285|TIPO 6|BRASILIA|DF|SHC SUL,CR QUADRA 503 BLOCO C,SN,|ASA SUL|382781.93
459135308885330554|TIPO 2|CAMPINAS|SP|AV RUY RODRIGUEZ,3100,|JARDIM YEDA|369741.11
8730668419656983396|TIPO 6|BRASILIA|DF|DAS CASTANHEIRAS L 820 L 12 T,12,|NORTE AGUAS CLARAS|367948.11
4564882453181962267|TIPO 6|BRASILIA|DF|SHCN EQ 408 409,SN,BL A|ASA NORTE|367578.32
6880430603634677017|TIPO 2|CURITIBA|PR|LOC ROD BR 116,18580,|PINHEIRINHO|359078.02
7705972549634187336|TIPO 6|BRASILIA|DF|SHCN EQ 402 403,SN,BL A|ASA NORTE|356533.18
9134200794649843558|TIPO 4|BRASILIA|DF|ROD DF 001 E 480,SN,CHAC ARCO IRIS|GAMA|356370.9
7982808881071800686|TIPO 4|BRASILIA|DF|QUADRA 2 CONJUNTO L 15 LOTE,SN,|ITAPUA I|340886.5
3722224977245724529|TIPO 2|GUARULHOS|SP|R JAMIL JOAO ZARIF,689,|JARDIM SANTA VICENCIA|337513.96
8488207806710784243|TIPO 1|GOIANIA|GO|R JOSE HERMANO,411,QD65 LT6E|SETOR CAMPINAS|335755.46
1264757459775003705|TIPO 4|BRASILIA|DF|ST HABIT SANDRAY CONJ A,SN,LT 14 19|PLANALTINA|330776.08
9134845742517984813|TIPO 7|SALVADOR|BA|AV TANCREDO NEVES,148,|CAMINHO DAS ARVORES|321774.32
6272567421956193207|TIPO 6|CURITIBA|PR|AV WINSTON CHURCHILL,2222,|CAPAO RASO|320747.09
755646990008370092|TIPO 6|BRASILIA|DF|Q SHIS QI 11 COM L B K L 01,01,|LAGO SUL|317823.02
2854891180099080244|TIPO 6|CURITIBA|PR|R NATAL,1155,|CAJURU|317441.7
2189775794641533902|TIPO 6|CURITIBA|PR|AV AGUA VERDE,860,|AGUA VERDE|316341.44
7700789611804484939|TIPO 6|BRASILIA|DF|R DAS PAINEIRAS,03,|AGUAS CLARAS|309224.18
6750868287345220233|TIPO 6|CURITIBA|PR|R VISCONDE DO SERRO FRIO,164,|NOVO MUNDO|303071.38
3618521530019298118|TIPO 4|BRASILIA|DF|2 3 CONJUNTO COMERCIAL LOTE,16,|PARANOA PARQUE (PARANOA)|302569.3
3448206311674175898|TIPO 2|CAMPINAS|SP|AV RUY RODRIGUES,1700,|JARDIM NOVA CAMPOS ELISEOS|301031.09
4177715513779125537|TIPO 6|PORTO ALEGRE|RS|AV IPIRANGA,5200,|JD BOTANICO|300000.0
34359494953327628|TIPO 6|PORTO ALEGRE|RS|AV TULIO DE ROSE,100,|PASSO DE AREIA|300000.0
4750817935585959990|TIPO 5|BRASILIA|DF|AREA ESPECIAL P INDUST LT01 P1,SN,|SETOR LESTE(GAMA)|300000.0
8358798778230062962|TIPO 6|BRASILIA|DF|EPTG KM 7 CHAC 53A ARTE VERDE,S/N,|TAGUATINGA|297911.09
7452871464799746211|TIPO 6|CURITIBA|PR|AV MAL MASCARENHAS DE MORAES,312,|STA CANDIDA|293827.87
1540962750699389208|TIPO 2|CURITIBA|PR|AV MARECHAL FLORIANO PEIXOTO,5350,|HAUER|289365.39
1521723945392480070|TIPO 2|PORTO ALEGRE|RS|R VITOR VALPIRIO,850,|ANCHIETA|284162.39
7026991581624378494|TIPO 4|BRASILIA|DF|Q 08 COMERCIO LOCAL,07,LOJA 02|SOBRADINHO|283415.82
6632731768665238370|TIPO 4|BRASILIA|DF|ST SCIA QUADRA 10 CONJ1,SN,LOTE 06|GUARA|277982.27
1130017104843533558|TIPO 4|BRASILIA|DF|SETOR B NORTE AREA ESPECIAL 1 |BRAZLANDIA |275338.77
5013238208386383082|TIPO 6|CURITIBA|PR|R MARTIN AFONSO,2800,|CHAMPAGNAT|273273.91
2413800100096848265|TIPO 2|CAMPINAS|SP|AV IMP DO SOL NASCENTE,SN,QD 6946|JARDIM AURELIA|270939.02
1556092457663074128|TIPO 5|BRASILIA|DF|QD QI 21 LT 01 03 05 E 07,SN,|TAGUATINGA|269461.0
3405206651067867721|TIPO 4|BRASILIA|DF|ADE CJ 5 LT 28 BL B,1,|AGUAS CLARAS|263252.66
8219771079800480452|TIPO 4|PORTO ALEGRE|RS|AV ASSIS BRASIL,11150,|SARANDI|262850.83
1920823131473490904|TIPO 4|BRASILIA|DF|Q01 C08 LT1 2 3 7 Q104 C10 LT19,SN,|SAO SEBASTIAO|262034.6
6358951190028122002|TIPO 6|PORTO ALEGRE|RS|R ALBION,111,|PARTENON|257978.74
6292182780774532849|TIPO 6|CURITIBA|PR|AV COMENDADOR FRANCO,6005,|UBERABA|256901.51
8106987353229744789|TIPO 2|CAMPINAS|SP|R PADRE BERNARDO DA SILVA,1249,|SAO BERNARDO|254270.22
1266757647021517500|TIPO 1|CAMPINAS|SP|RUA PEDRO STANCATO,39,163 233|CHACARAS CAMPOS DOS AMARAIS|250000.0
2102561880629353293|TIPO 2|GUARULHOS|SP|AV SALGADO FILHO,1301,|CENTRO|235816.67
4053654470551601408|TIPO 4|BRASILIA|DF|104 AV RECANTO DAS EMAS L13 LJ1,SN,|RECANTO DAS EMAS|234591.08
1540305774451155075|TIPO 6|GOIANIA|GO|AV DEPUTADO JAMEL CECILIO,3900,|JD GOIAS|230032.41
7466039762363067361|TIPO 2|CURITIBA|PR|AV JUSCELINO K DE OLIVEIRA,2511,|CIDADE INDUSTRIAL|228675.5
721071616357046362|TIPO 6|CURITIBA|PR|AV VEREADOR TOALDO TULIO,3650,|SAO BRAZ|225243.6
6337600681000298684|TIPO 2|CAMPINAS|SP|AVENIDA RUY RODRIGUEZ,4300,|PARQUE UNIVERSITARIO DE VIRACOPOS|222238.23
2884779197093564489|TIPO 6|PORTO ALEGRE|RS|AV PLINIO BRASIL MILANO,1000,|HIGIENOPOLIS|220000.0
5743391946195905282|TIPO 6|PORTO ALEGRE|RS|AV IPIRANGA,3000,|CENTRO|220000.0
8764686300552758400|TIPO 6|PORTO ALEGRE|RS|AV ASSIS BRASIL,164,|SAO JOAO|220000.0
7369263372840656456|TIPO 6|PORTO ALEGRE|RS|AV ASSIS BRASIL,2611,|CRISTO REDENTOR|300000.0
217295428220457742|TIPO 6|PORTO ALEGRE|RS|AV OTTO NIEMEYER,601,|TRISTEZA|220000.0
8576687353056607783|TIPO 2|CAMPINAS|SP|ROD DOM PEDRO I,SN,KM 140|CEASA|218737.36
4121695584514270805|TIPO 2|PORTO ALEGRE|RS|AV EDUARDO PRADO,330,PRED 1 BL3 LJ1|VILA NOVA|217382.17
2071950379503427140|TIPO 6|CURITIBA|PR|LODOVICO GERONAZZO,805,|BOA VISTA|216966.95
7311181704474532211|TIPO 6|CURITIBA|PR|R IZAAC FERREIRA DA CRUZ,3868,|SITIO CERCADO|211885.87
740140905951785215|TIPO 2|GOIANIA|GO|AV PE ORLANDO MORAIS,2127,LTA|PARQUE AMAZONIA|210851.64
941220885539717339|TIPO 6|CURITIBA|PR|R NICOLA PELANDA,250,|PINHEIRINHO|206232.88
3829159251422131933|TIPO 2|GUARULHOS|SP|R JOSE BERNARDO MEDEIROS,237,|SAO FRANCISCO|203183.24
3917457801735845443|TIPO 6|BRASILIA|DF|SHCS CR QD 512 BL A,SN,LJ 07 18 19|ASA SUL|201688.58
5820809405409493464|TIPO 2|BRASILIA|DF|Q STN CONJUNTO H,SN,D|ASA NORTE|197026.33
894204062883939419|TIPO 6|BRASILIA|DF|CLW SHCSW QD301 BL B LJ 26 A 52,SN,|SETOR SUDOESTE|195215.03
8568828797472097461|TIPO 2|GUARULHOS|SP|AV PRES JUSC K DE OLIVEIRA,5308,|BONSUCESSO|193668.56
8108137100653527302|TIPO 2|FORTALEZA|CE|ROD BR 116, 501,|MESSEJANA|192352.11
398614288612071542|TIPO 2|GOIANIA|GO|AV IND,SN,QD 139 LT 01|SETOR CENTRAL|188666.64
6186327049028784067|TIPO 5|GUARULHOS|SP|EST GUARULHOS NAZARE,4201,|JD LENIZE|186581.0
7110142541418224470|TIPO 5|GUARULHOS|SP|AV JULIA GAIOLLI,868,GALPAOI|AGUA CHATA|183858.62
6004655109002498634|TIPO 6|BRASILIA|DF|SHCS CR QD 508 BL C,SN,LJ 43 E 44|ASA SUL|182812.76
4923064576905472015|TIPO 6|CAMPINAS|SP|AV BADEN POWELL,2026,|JD NOVA EUROPA|181250.33
274298929639875021|TIPO 5|BRASILIA|DF|AV BELA VISTA,SN,LT L N M PT II|JARDIM BOTANICO|180422.0
7386768644018032059|TIPO 2|GUARULHOS|SP|AV ANTONIO DE SOUZA,300,|CENTRO|180000.0
8883042961588231641|TIPO 6|CURITIBA|PR|AV MARECHAL FLORIANO PEIXOTO, 7486,|VILA HAUER|179206.65
9044886792651517380|TIPO 6|CURITIBA|PR|R FIORAVANTE DALLA STELLA,66,|CRISTO REI|179011.28
4559856726465563143|TIPO 5|BRASILIA|DF|QNL 02 AREA ESPECIAL 03 PT 04,SN,|TAGUATINGA NORTE|178422.0
4711322838290369873|TIPO 6|CAMPINAS|SP|AV JOHN BOYD DUNLOP,440,|VILA TEIXEIRA|178103.75
2832576549889510654|TIPO 5|BRASILIA|DF|TRECHO SIA TRECHO 10 LT 01,SN,B 01|SIA|176422.0
2522292411551442372|TIPO 3|CAMPINAS|SP|ROD DOM PEDRO 1 KM 132,SN,|PARQUE IMPERADOR|175574.77
662992997745624269|TIPO 2|BRASILIA|DF|QNL 1,SN,STR L NORTE A ESPECIAL 3|TAGUATINGA|175093.79
4423222019690267255|TIPO 6|CURITIBA|PR|RUA PROF PEDRO VIRIATO PARIGOT,600,|MOSSUNGUE|173419.06
6293659930556528179|TIPO 7|SALVADOR|BA|AV TANCREDO NEVES,3133,|CAMINHO DAS ARVORES|170818.18
3037367490122329454|TIPO 6|CURITIBA|PR|RUA JOAO BETTEGA,3930,|CIDADE INDUSTRIAL|168127.3
5358983863689262211|TIPO 2|GOIANIA|GO|AV GOIAS,6505,|SETOR CENTRAL|167726.57
3540309689261262615|TIPO 2|FORTALEZA|CE|AV SEN CARLOS JEREISSATI,SN,|SERRINHA|166118.8
7704884535890909133|TIPO 6|CURITIBA|PR|JOAO DEMBINSKI,1410,|CIDADE INDUSTRIAL|165784.01
4445891244125319633|TIPO 6|CURITIBA|PR|R FRANCISCO DEROSSO,3300,|XAXIM|164780.0
718916904323717032|TIPO 6|BRASILIA|DF|CLN 208 BL D N 01,01,|ASA NORTE|163191.61
6414945986413237010|TIPO 7|CAMPINAS|SP|R TREZE DE MAIO,573,|CENTRO|162884.51
2658060891847093927|TIPO 2|GUARULHOS|SP|AV PRES TANCREDO DE ALM NEVES,568,|MACEDO|161781.79
2425413371805866963|TIPO 2|FORTALEZA|CE|MIGUEL GURGEL,1900,|COACU|161330.84
1036836217109085673|TIPO 2|BRASILIA|DF|STN,SN,CONJ A|ASA NORTE|160343.26
3920246132253721197|TIPO 2|GUARULHOS|SP|AV SANTANA DO MUNDAU,77,|CIDADE PARQUE ALVORADA|157101.11
2389585535971525935|TIPO 6|BRASILIA|DF|Q CLN 310 BLOCO C,10,|ASA NORTE|157019.41
8791725994065457757|TIPO 6|CURITIBA|PR|RUA AMAURY LANGE SILVERIO,1130,|PILARZINHO|156431.11
5396363848290067500|TIPO 2|FORTALEZA|CE|AV GAL OSORIO DE PAIVA,6297,|CANINDEZINHO|155799.61
7898512761467185162|TIPO 6|CURITIBA|PR|R JOAO ALENCAR GUIMARAES,2126,|CAMPO COMPRIDO|154756.03
2416211130426753548|TIPO 6|BRASILIA|DF|SHC C Q 211 B D L 02,76,0 1 6 6 7 7|ASA NORTE|154695.38
7034806985465989673|TIPO 7|FORTALEZA|CE|AV WASHINGTON SOARES,85,|EDSON QUEIROZ|154083.52
7405573355859871510|TIPO 6|CURITIBA|PR|R PROFESSOR ALVARO JORGE,75,|AGUA VERDE|152995.95
7643580100362212251|TIPO 6|CURITIBA|PR|AV MANOEL RIBAS,8205,|STA FELICIDADE|150760.73
1221522256446327829|TIPO 6|BRASILIA|DF|SMDB SUL CONJUNTO 12,SN,LT 1 TERREO|LAGO SUL|150415.69
6316728272093159792|TIPO 6|PORTO ALEGRE|RS|AV CEL LUCAS DE OLIVEIRA,740,|PETROPOLIS|150000.0
526511071737192819|TIPO 6|GUARULHOS|SP|AV BENJAMIN H HUNNICUTT,SN,|VL R JANEIRO|148781.76
1177155150287837498|TIPO 6|CURITIBA|PR|AV REPUBLICA ARGENTINA,900,LOJA|VILA ISABEL|148545.55
1575326616014926934|TIPO 2|CURITIBA|PR|ROD BR 476,1801,|ATUBA|147257.29
7419860862102366287|TIPO 2|GOIANIA|GO|AV PERIMETRALNORTE,2609,QD 03 LT 01|VILA JOAO VAZ|146747.12
2883271097537380529|TIPO 6|CAMPINAS|SP|AV MIRANDOPOLIS,860,|VILA POMPEIA|145745.41
3731552283252734758|TIPO 4|BRASILIA|DF|QNN 25 CJ B LOTES 01 E 03,SN,|CEILANDIA|145106.04
7381877803974171382|TIPO 6|CURITIBA|PR|AV PRES ARTHUR BERNARDES,2200,|PORTAO|144138.61
3231499807413974349|TIPO 2|CAMPINAS|SP|AV RICARDO BASSOLI CEZARE,1567,|JARDIM DAS BANDEIRAS|143719.68
4241065586279947147|TIPO 2|GUARULHOS|SP|RUA CARLOS LEAL EVANS,252,|JARDIM SANTA FRANCISCA|143719.68
3067392827439180438|TIPO 7|PORTO ALEGRE|RS|R DOS ANDRADAS,1285,|CENTRO HISTORICO|143271.04
1473655462514428070|TIPO 2|GOIANIA|GO|AV MILAO,SN,QD 50 51 LT 1E LT1 15 E|JARDIM EUROPA|143179.71
6154888636784545238|TIPO 2|CURITIBA|PR|AV MAL HUMBE DE ALENCAR C BRAN,230,|CRISTO REI|142965.58
2378655704749824454|TIPO 4|CURITIBA|PR|JUSCELINO KUBITSCHEK OLIVEIRA,2211,|CIDADE INDUSTRIAL|142047.74
7447958938746281286|TIPO 6|BRASILIA|DF|SHCN CL,SN,QD 106 BL D LJ 80 TER|ASA NORTE|140885.45
3874617091002343000|TIPO 7|FORTALEZA|CE|R BARAO DO RIO BRANCO,922,|CENTRO|140262.0
1425663127850265972|TIPO 2|FORTALEZA|CE|AV JOSÉ SABOIA, 521|CAIS DO PORTO|139887.63
3878635418379862201|TIPO 6|CURITIBA|PR|AV VICTOR FERREIRA DO AMARAL,1088,|TARUMA|139442.08
5491485043934265972|TIPO 2|FORTALEZA|CE|AV ALBERTO CRAVEIRO,00507,|DIAS MACEDO|138395.5
4906094560209078814|TIPO 5|GOIANIA|GO|R 1034,251,|SETOR PEDRO LUDOVICO|138333.0
7034334396513223350|TIPO 6|CAMPINAS|SP|R JOSE ROSOLEN,521,|JD LONDRES|137410.81
6403949100316538312|TIPO 2|CURITIBA|PR|AV PRESIDENTE KENNEDY,1000,|AGUA VERDE|137275.91
2748803986015525671|TIPO 6|GUARULHOS|SP|AV JUREMA,1065,|PARQUE JUREMA|136031.0
2313904556092975679|TIPO 2|BRASILIA|DF|QNM,QD11 LT 6 MEZANINO,LJ 1|CEILANDIA SUL|135163.84
5326197085732666362|TIPO 5|GUARULHOS|SP|AV SAO BENTO,1809,|VILA GALVAO|134996.0
4713309725255242190|TIPO 2|FORTALEZA|CE|AV MISTER HULL,4300,|PADRE ANDRADE|134941.04
617714563452328172|TIPO 6|BRASILIA|DF|SCEE SUL LOTE B,SN,|SAIDA SUL|130479.4
8874545045979027575|TIPO 6|BRASILIA|DF|SETOR TERMINAL NORTE,SN,CJ J|ASA NORTE|130356.83
2432460619759087052|TIPO 6|PORTO ALEGRE|RS|AV SERTORIO, 8000, L 202|SARANDI|130000.0
5614629239515411651|TIPO 6|BRASILIA|DF|R COPAIBA,SN,LT 1 MEZ 1B LJ 1B|TAGUATINGA|128843.42
5412930823346741870|TIPO 6|CURITIBA|PR|AV VEREADOR TOALDO TULIO,2184,|SANTA FELICIDADE|128632.36
3494288217600730199|TIPO 6|CURITIBA|PR|R MATEUS LEME,1850,TERREO|CENTRO CIVICO|128551.26
8527416383673213407|TIPO 2|GOIANIA|GO|AV PORTUGAL,SN,QD L22|SETOR MARISTA|127289.53
6767670138967845587|TIPO 6|CAMPINAS|SP|R BENEDITA INY DE AVILA,47,|CIDADE SATELITE IRIS|126926.03
419132162825503187|TIPO 7|GUARULHOS|SP|ROD PRESIDENTE DUTRA KM 230,SN,|PORTO DA IGREJA|126890.13
3529239296232933260|TIPO 6|CAMPINAS|SP|ROD DOM PEDRO 1,SN,KM 127|PARQUE IMPERADOR|126381.59
2179650218145988302|TIPO 6|CURITIBA|PR|AL DR CARLOS CARVALHO,2050,|BATEL|126018.06
603498733872753088|TIPO 2|FORTALEZA|CE|SARGENTO HERMINIO SAMPAIO,SN,|PRESIDENTE KENNEDY|125921.71
5735793972013682922|TIPO 6|CURITIBA|PR|R BRIGADEIRO FRANCO,641,|MERCES|125727.17
3500660247073701776|TIPO 4|PORTO ALEGRE|RS|AV EDGAR PIRES DE CASTRO,25,|HIPICA|125381.53
1146545461576665249|TIPO 2|FORTALEZA|CE|AV BEZERRA DE MENEZES,571,|SAO GERARDO|124706.91
6218311978316498804|TIPO 6|CURITIBA|PR|AV BRASILIA,6900,ESQ LINHA VERDE|NOVO MUNDO|124607.01
6273127149267630285|TIPO 6|GUARULHOS|SP|AV ROSA MOLINA PANNOCHIA,331,|CURRALINHO CABUCU|123540.01
7721184602135285311|TIPO 2|GOIANIA|GO|ROD GO 060,SN,|CHACARAS MARINGA|122975.9
8815857935581660579|TIPO 2|PORTO ALEGRE|RS|AV ASSIS BRASIL,8285,|SARANDI|122715.91
3454350139375861522|TIPO 2|SALVADOR|BA|AVENIDA LUIS VIANA FILHO,6282,|PATAMARES|122550.21
3759117321854546192|TIPO 6|GOIANIA|GO|AV T9,SN,|VILA BELA|122468.72
3791524859460283414|TIPO 6|CAMPINAS|SP|AVENIDA ENG ANT FRCO P SOUZA,3900,|J V ZUBENS|122390.57
5573635436271625979|TIPO 6|CURITIBA|PR|AV REPUBLICA ARGENTINA,449,|AGUA VERDE|122036.15
1416199188607474883|TIPO 5|GOIANIA|GO|R 104,SN,QD B50 LT 01 18|JARDIM GOIAS|122000.0
5088136207867242030|TIPO 2|CAMPINAS|SP|AV SEN SARAIVA,835,|CENTRO|121872.48
1923313561157269118|TIPO 2|PORTO ALEGRE|RS|AV RJ RENER ,1603,|HUMAITA|121486.05
4999224628388933362|TIPO 6|CURITIBA|PR|AV SILVA JARDIM,506,|REBOUCAS|120900.8
5891691202425662274|TIPO 2|FORTALEZA|CE|AV GODOFREDO MACIEL,86,PARTE 01|PARANGABA|120510.51
6663038739110903060|TIPO 6|CAMPINAS|SP|AV GENERAL CARNEIRO,434,|VILA JOAO JORGE|120326.96
4764942079802433596|TIPO 4|PORTO ALEGRE|RS|RUA RAMIRO BARCELOS,430,|FLORESTA|120305.09
2680171806609272015|TIPO 2|BRASILIA|DF|SIA TR12,SN,LT 105 LJ 1 P1|GUARA|120086.66
7485048846063418180|TIPO 2|SALVADOR|BA|AV LUIS V FILHO,3056,LJ TRECHO A|IMBUI|120000.0
3863148003606275384|TIPO 2|FORTALEZA|CE|DOS EXPEDICIONARIOS,04444,|JARDIM AMERICA|120000.0
4591055343798463923|TIPO 6|PORTO ALEGRE|RS|AV PLINIO BRASIL MILANO,2343,|PASSO DE AREIA|119485.94
122181703060064730|TIPO 2|FORTALEZA|CE|AV SEN FERNANDES TAVORA,45,|JOQUEI CLUBE|118892.83
288532158906991942|TIPO 6|CURITIBA|PR|R DEP HEITOR A FURTADO,1210,|CAMPINA DO SIQUEIRA|118819.44
4453115092323743228|TIPO 4|GUARULHOS|SP|AV GUARULHOS,2753,|PONTE GRANDE|118671.49
1127334779895841098|TIPO 6|CURITIBA|PR|R ALBERTO FOLLONI,420,TERREO|JUVEVE|118190.37
6536659360090249837|TIPO 6|CURITIBA|PR|AV PARANA,1250,|CABRAL|118159.79
5013355137859840189|TIPO 6|CAMPINAS|SP|AV OROSIMBO MAIA,1309,BL B|VILA ITAPURA|118118.62
9128537653137941257|TIPO 6|SALVADOR|BA|R OTAVIO MANGABEIRA,100,|ITAPOAN|115887.0
1679489570190635038|TIPO 6|CAMPINAS|SP|AV GUILHERME CAMPOS,500,LJ A 004|JARDIM SANTA GENEBRA|114700.08
4440349226618771142|TIPO 2|FORTALEZA|CE|AV FRANCISCO SA,03175,|CARLITO PAMPLONA|114542.85
5583090737820368401|TIPO 2|BRASILIA|DF|SIA TR 14 S COMP,SN,|GUARA|114487.38
8104965237650462389|TIPO 7|BRASILIA|DF|SDN CJ A SN LJ S132 1 SUBSOLO,SN,|ASA NORTE|113664.84
1206995436312443213|TIPO 2|BRASILIA|DF|QS 9 DF,SN,|AGUAS CLARAS|111651.67
2745443296253580799|TIPO 6|CURITIBA|PR|R DES OTAVIO DO AMARAL,576,TERREO|BIGORRILHO|111571.85
732722178577130839|TIPO 6|CAMPINAS|SP|R ELEUTERIO RODRIGUES,735,|VILA NOVA|111543.22
52481510094731512|TIPO 6|CURITIBA|PR|AV PRESIDENTE WENCESLAU BRAZ,790,|GUAIRA|110585.87
6107152978201871531|TIPO 2|CURITIBA|PR|ROD BR 116,10000,|JD BOTANICO|109718.19
3075768240399584816|TIPO 6|CAMPINAS|SP|AV PROJETADA,SN,|VILA BRANDINA|109616.82
44386841674806570|TIPO 2|SALVADOR|BA|AV BARROS REIS,334,|CABULA|109152.04
6301659712876945736|TIPO 6|FORTALEZA|CE|AV GODOFREDO MACIEL,3190,|PARANGABA|107667.52
169039782164433411|TIPO 6|CURITIBA|PR|AV MARECHAL FLORIANO PEIXOTO,3031,|REBOUCAS|107554.59
389482033872058606|TIPO 6|CAMPINAS|SP|R JACY TEIXEIRA CAMARGO,940,LUC 20|JARDIM DO LAGO|107347.93
2654603020447806362|TIPO 6|CURITIBA|PR|R CORONEL DULCIDIO,880,|BATEL|107115.19
5585365832591058430|TIPO 7|FORTALEZA|CE|R GERMANO FRANCK,300,|PARANGABA|106291.95
3684899640977656221|TIPO 6|CAMPINAS|SP|AV ANDRADE NEVES,2538,|JARDIM CHAPADAO|105466.11
8997283549426510795|TIPO 6|CAMPINAS|SP|R BENEDITO ALVES ARANHA,130,|BARAO GERALDO|103799.38
7530805050117493801|TIPO 2|BRASILIA|DF|QS 3 RUA 420,SN,LOTE 4|AREAL AGUAS CLARAS|103412.75
1660281758324746022|TIPO 2|BRASILIA|DF|AE DE IND 1 FACULDADE LT01 ANXA,SN,|SETOR LESTE|103077.04
3945850113302672282|TIPO 5|GUARULHOS|SP|AV BRIGADEIRO FARIA LIMA,3250,|JARDIM ADRIANA|102759.0
161801403633046111|TIPO 7|CURITIBA|PR|AV PRESIDENTE KENNEDY,4121,|PORTAO|102544.0
3525896643322712186|TIPO 2|BRASILIA|DF|SRIA QE 13,SN, BLA LJ2 3 6 10 14 18|GUARA II|101998.49
2108913781731403192|TIPO 2|BRASILIA|DF|ST IND ESP55 QUADRA 5C LJ01,SN,|SETOR DE INDUSTRIA|101998.49
4700517984895821888|TIPO 2|BRASILIA|DF|SMDB AREA ESPECIAL D,SN,PARTE|SETOR DE MANSOES DOM BOSCO LAGO SUL|101998.49
3997144833050622134|TIPO 2|BRASILIA|DF|QS3,RUA450 SN,LT1 LJ1|AGUAS CLARAS|101998.49
1626314278494618793|TIPO 2|BRASILIA|DF|AREA ADE CONJ 22 LT 17 PARTE C,SN,|AGUAS CLARAS|101998.49
4097464747849739829|TIPO 2|BRASILIA|DF|RUA 4A CHACARA 109,SN,|SETOR HABITACIONAL VICENTE PIRES|101998.49
4207935958787084652|TIPO 2|BRASILIA|DF|R 12 CH 129 A CONJ B LOTE 10,SN,|ST HAB VICENTE PIRES|101998.49
6680671324445241391|TIPO 2|BRASILIA|DF|QNN 30 AREA ESPECIAL LOTE E,SN,|CEILANDIA SUL|101998.49
2161507227731979084|TIPO 2|BRASILIA|DF|QUADRA 18 LOTE 01,SN,|SETOR INDUSTRIAL|101998.49
888382516867780500|TIPO 2|BRASILIA|DF|PRAÇA AREA PRA MERCADO 01,SN,|GAMA|101998.49
8659653954121653945|TIPO 2|BRASILIA|DF|NUCR ALEX G G LT 455 KM 08,SN,|CEILANDIA|101998.49
3917321973364777171|TIPO 2|BRASILIA|DF|AE DE INDUSTRIA,10,LOTE 2|SOBRADINHO|101998.49
7742770488318990962|TIPO 2|BRASILIA|DF|AE NORTE 15,SN,|SETOR NORTE PLANALTINA|101998.49
5336436808191973145|TIPO 2|GOIANIA|GO|AV CESAR LATTES,SN,FZD SANTA RITA|SETOR NOVO HORIZONTE|101998.49
674525739475962901|TIPO 2|GOIANIA|GO|AV HORACIO COST SILVA,SN,QD3 LT81A|CHACARAS RIO BRANCO|101998.49
8028699708556814567|TIPO 7|SALVADOR|BA|ALAMEDA EUVALDO LUZ,92,|HORTO BELA VISTA|101972.64
3340863467191256646|TIPO 2|BRASILIA|DF|QNP 27 AREA ESP 1 QD,SN,|CEILANDIA NORTE CEILANDIA|101371.55
